video_id,orignal_length,condition,unsilent_length,silent_length,norm
A_0,67.0293333333333,A,24.8781875,42.1511458333333,0.584646429622117
A_1,69.504,A,20.8002708333333,48.7037291666667,0.705286228205466
A_2,49.6213333333333,A,14.1618125,35.4595208333333,0.461446730949284
A_3,68.544,A,28.0290208333333,40.5149791666667,0.554522918470212
A_4,41.408,A,21.0869166666667,20.3210833333333,0.182732526495579
A_5,72.256,A,32.4777916666667,39.7782083333333,0.540958209650217
A_6,112,A,48.7291666666667,63.2708333333333,0.973481598368783
A_7,56.0426666666667,A,22.0172708333333,34.0253958333333,0.435043014683179
A_8,106.474666666667,A,44.6113333333333,61.8633333333333,0.947568075736834
A_9,92.48,A,45.5830833333333,46.8969166666667,0.672020951750448
A_10,99.2213333333333,A,41.9346041666667,57.2867291666667,0.863308085931941
A_11,59.52,A,37.4865208333333,22.0334791666667,0.214259495008502
A_12,97.5786666666667,A,56.4119375,41.1667291666667,0.566522306303514
A_13,111.552,A,57.7111458333333,53.8408541666667,0.79986598305495
A_14,74.0693333333333,A,35.2472291666667,38.8221041666667,0.523355348576386
A_15,86.5066666666667,A,42.6681875,43.8384791666667,0.615711971732934
A_16,57.3653333333333,A,29.2889791666667,28.0763541666667,0.325515038933572
A_17,76.0533333333333,A,34.3074166666667,41.7459166666667,0.577185743880346
A_18,98.368,A,50.76175,47.60625,0.685080507975619
A_19,65.0666666666667,A,35.8431458333333,29.2235208333333,0.346635557142654
A_20,49.3226666666667,A,23.3043541666667,26.0183125,0.287624375127774
A_21,98.4106666666667,A,51.646625,46.7640416666667,0.669574586336792
A_22,68.8,A,35.6899375,33.1100625,0.418190786584344
A_23,87.1466666666667,A,46.0465,41.1001666666667,0.565296822218122
A_24,53.3973333333333,A,26.1367083333333,27.260625,0.310496625987243
A_25,82.2826666666667,A,52.8842916666667,29.398375,0.349854802190759
A_26,70.016,A,42.71175,27.30425,0.31129980710612
A_27,93.5253333333333,A,61.2704791666667,32.2548541666667,0.402445521574849
A_28,65.92,A,27.6950625,38.2249375,0.512360896049415
A_29,59.136,A,43.0325208333333,16.1034791666667,0.105082095926828
A_30,80.6186666666667,A,48.9628958333333,31.6557708333333,0.391415781243228
A_31,61.2906666666667,A,31.5941458333333,29.6965208333333,0.35534397362927
A_32,43.6906666666667,A,33.3342291666667,10.3564375,-0.000726852063167
A_33,59.2213333333333,A,30.8933541666667,28.3279791666667,0.330147713983138
A_34,40.384,A,29.870625,10.513375,0.002162528724081
A_35,73.6426666666667,A,46.8083333333333,26.8343333333333,0.302648157957419
A_36,96.96,A,52.3526666666667,44.6073333333333,0.629867367717719
A_37,51.52,A,30.6393125,20.8806875,0.193035414764034
A_38,117.098666666667,A,52.4269583333333,64.6717083333333,0.999273147936833
A_39,91.5626666666667,A,48.7523541666667,42.8103125,0.59678236591689
A_40,116.650666666667,A,57.78275,58.8679166666667,0.892419374078729
A_41,66.8373333333333,A,38.8582291666667,27.9791041666667,0.323724566410689
A_42,79.168,A,46.4114791666667,32.7565208333333,0.411681720878835
A_43,119.466666666667,A,86.22375,33.2429166666667,0.420636768434905
A_44,54.3146666666667,A,41.6317083333333,12.6829583333333,0.042106789335258
